Produktbezeichnung;Einheit.Produkt;n;Bemerkungen;Faktor_N;P2O5;Faktor_P;K2O;Faktor_K;Einheiten
05.10.1930;dt;29;;0.25;;;;;
05.10.1930;dt;29;keine Infos;0.25;;0;;0;
16.05.2008;dt;78;;0.25;;;;;
16.05.2008;dt;74;keine Infos;0.25;;0;;0;
20.08.2008;dt;19;;0.25;;;;;
20.08.2008;dt;19;keine Infos;0.25;;0;;0;
13.08.2025;dt;10;;0.25;;;;;
  Fosse à lisier pour vaches;m³;19;Güllegrube, Kühe;2.6;1.8;0.792;8;6.64;kg/m3
 ATS;kg;7;Ammoniumthiosulfat, 12%N;0.12;;0;;0;
 Branntkalk;dt;2;;;;0;;0;
 Fosse à lisier pour Génisses;m³;9;Güllegrube, Kühe;2.6;1.8;0.792;8;6.64;kg/m3
 Mist Weide;t;3;Annahme Kuhmist;1.9;3.2;1.408;10.8;8.964;kg/t
 Rindervollgülle 1:2  Schleppschlauch;m³;76;;0.85;0.6;0.264;2.3;1.909;kg/m3
0.14.28;dt;1;;;0.14;0.0616;0.28;0.2324;
01 Ammonsalpeter 27.5 %;dt;82;;0.275;;0;;0;
01 Nitrate ammoniaque 27 % N + 2.5 % Mg;dt;149;;0.27;;0;;0;
0-14-28;dt;7;;;0.14;0.0616;0.28;0.2324;
01Ammonsalpeter 27.5 %;dt;124;;0.275;;0;;0;
02 Nitrate magnésien 24 % N + 5 % Mg + S;dt;14;;0.24;;0;;0;
02 Sulfonitrate 26 % N + B + S;dt;46;;0.26;;0;;0;
02 Supertriple;dt;6;;;0.46;0.2024;;0;
02 Triple Superphosphat;dt;10;;;0.46;0.2024;;0;
02Harnstoff (grob-) granuliert;dt;35;;0.46;;0;;0;
03 Landor Spécial 6.8.24.2.0,1 ex chl.;dt;4;;0.06;0.08;0.0352;0.24;0.1992;
03 Mg-Ammonsalpeter 25% + S;dt;29;;0.25;;0;;0;
03 Potasse granulée 60 %;dt;6;;;;0;0.6;0.498;
03 Supertriple;dt;10;;;0.46;0.2024;;0;
03 Terbona IP chlorfrei;dt;20;;0.12;0.06;0.0264;0.18;0.1494;
04 Landor P 26;dt;3;;;0.26;0.1144;;0;
04 Nitrate magnésien 24 % N + 5 % Mg + S;dt;8;;0.24;;0;;0;
04 Potasse granulée 60 %;dt;2;;;;0;0.6;0.498;
05 Kalisalz 60 % Granulat;dt;17;;;;0;0.6;0.498;
05 Potasse de magnésie sans chlore;dt;4;;;;0;0.6;0.498;
2 x 15 plus;dt;132;;0.15;0.15;0.066;;0;
Activtonic;dt;5;;0.04;;0;;0;
Agro Biosol;dt;2;;0.07;0.07;0.0308;0.01;0.0083;
Agro Kalk;dt;2;;;;0;;0;
Agro-Düngkalk;dt;249;;0.12;;0;;0;Annahmen
Alle Güllengruben;m³;191;Annahme Kuhgülle;2;1.8;0.792;8;6.64;kg/m3
alte Grube;m³;10;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
Alte Güllegrube;m³;25;Annahme Kuhgülle;2.6;1.8;0.792;8;6.64;kg/m3
AminoBasic;hl;11;;0.09;;0;;0;in %
Ammon/Bor 26N. 0.2B. 14S.;dt;26;;0.26;;0;;0;
Ammon-Harnstoff  gemisch;dt;16;;0.3;;0;;0;
Ammonsalpeter;dt;134;;0.335;;0;;0;
Ammonsalpeter + Mg;dt;217;;0.27;;0;;0;
Ammonsalpeter + Mg + S;dt;3;;0.27;;0;;0;
Ammonsalpeter 1/27.5 %;dt;52;;0.275;;0;;0;
Ammonsalpeter 23 % + 13 % Ca;dt;231;;0.23;;0;;0;
Ammonsalpeter 24 % + 5 %  Mg;dt;9;;0.24;;0;;0;
Ammonsalpeter 24 % + 5% Mg 7 % S;dt;8;;0.24;;0;;0;
Ammonsalpeter 24%;kg;5;;0.24;;0;;0;
Ammonsalpeter 24% + 5 %  Mg + 7% S;dt;36;;0.24;;0;;0;
Ammonsalpeter 25 % + 5 %  Mg;dt;34;;0.25;;0;;0;
Ammonsalpeter 25 % + 5&%MG + 8.5% S;dt;14;;0.25;;0;;0;
Ammonsalpeter 25 + Mg;kg;26;;0.25;;0;;0;
Ammonsalpeter 25% +5Mg +8.5 S;dt;3;;0.25;;0;;0;
Ammonsalpeter 25% Mg + S;dt;57;;0.25;;0;;0;
Ammonsalpeter 25%+MgS;dt;2;;0.25;;0;;0;
Ammonsalpeter 27 %;dt;144;;0.27;;0;;0;
Ammonsalpeter 27 % + 2 5 %  Mg;dt;26;;0.27;;0;;0;
Ammonsalpeter 27 % + 2.5 %  Mg;dt;4479;;0.27;;0;;0;
Ammonsalpeter 27 % + 2.5 %  Mg;kg;37;;0.27;;0;;0;
Ammonsalpeter 27 % + 2.5 % Mg;dt;35;;0.27;;0;;0;
Ammonsalpeter 27 % + 2.5 % Mg + 4.5 % Ca;dt;66;;0.27;;0;;0;
Ammonsalpeter 27 % + 2.5 % Mg + 9 % Ca;dt;327;;0.27;;0;;0;
Ammonsalpeter 27 % ohne Mg;dt;207;;0.27;;0;;0;
Ammonsalpeter 27 ohne Mg;dt;14;;0.27;;0;;0;
Ammonsalpeter 27%;dt;20;;0.27;;0;;0;
Ammonsalpeter 27% + 2.5 % Mg + 4.5 % Ca;dt;267;;0.27;;0;;0;
Ammonsalpeter 27% + Mg;dt;41;;0.27;;0;;0;
Ammonsalpeter 27.5 %;kg;53;;0.275;;0;;0;
Ammonsalpeter 27.5 %;dt;3345;;0.275;;0;;0;
Ammonsalpeter 27+ Mg;kg;12;;0.27;;0;;0;
Ammonsalpeter Mg + S;dt;13;;0.27;;0;;0;
Ammonsalpeter Mg S;dt;15;;0.27;;0;;0;
Ammonsalpeter MGS 25%;dt;29;;0.25;;0;;0;
Ammonsalpeter MGS 25/5/8.5;dt;11;;0.25;;0;;0;
Ammonsalpeter mit Kalk;dt;279;;0.2;;0;;0;
Ammonsalpeter N 25, 5 Mg, 8.5 S;dt;28;;0.25;;0;;0;
Ammonsulfat flüssig;dt;6;;0.21;;0;;0;
Ammonsulfat gr. 21 % N + S;dt;11;;0.21;;0;;0;
Ammonsulfat gran. 21 % N + S;dt;296;;0.21;;0;;0;
Ammonsulfat gran. 21 % N 3% Mg+ S;dt;10;;0.21;;0;;0;
Arbellin 2/3 chlorfrei 10% Zeolith;dt;20;;;0.08;0.0352;0.18;0.1494;
Azolon fluid;l;93;;347;;0;;0;g/l
Azoplum pelletiert (Federmehl);dt;19;;0.13;;0;;0;
Beeren- und Obstdünger;dt;6;;;;0;;0;
Beton Grube Mistgrube;t;14;Annahme Kuhgülle;1.9;2.7;1.188;8.7;7.221;kg/t
Bettastar;kg;9;;0.04;;0;;0;
Bio 3 G  Aktiv Tonic;dt;4;;0.04;;0;;0;
Bio 3G;dt;12;welches Produkt;0.4;;0;;0;
Bio3g;dt;11;welches Produkt;0.4;;0;;0;
Bio3G;dt;11;welches Produkt;0.4;;0;;0;
Biogasgülle;m³;1;k.A.;2.6;;0;;0;kg/m3
Biogasgülle ;m³;1;k.A.;2.6;;0;;0;kg/m3
Bioilsa 11;dt;5;;0.11;;0;;0;
Biorga N pelletiert;dt;87;;0.12;;0;;0;
Biorga N pelletiert rasche Anfangswirkung;dt;57;;0.12;;0;;0;
Biorga N Quick;dt;17;;0.12;;0;;0;
Biorga N Quick gekrümelt besonders rasche Wirkung;dt;11;;0.12;;0;;0;
Biorga Plumos pelletiert langsame Anfangswirkung;dt;52;;0.12;0.03;0.0132;;0;
Biorga Vegi  sans chlore granulée;dt;36;;0.05;0.01;0.0044;0.05;0.0415;
Blaukorn 100 % chlorfrei;dt;24;;0.12;0.12;0.0528;0.17;0.1411;
Blaukorn chlorarm;dt;5;;0.12;0.12;0.0528;0.17;0.1411;
Bor-Ammon + Schwefel  26%+ 0.2 B+ 14 S;dt;37;;0.26;;0;;0;
Bor-Ammon + Schwefel  26%+ B+S;dt;60;;0.26;;0;;0;
Bor-Ammonsalpeter;dt;7;;0.26;;0;;0;
Bor-Ammonsalpeter + S;dt;63;;0.26;;0;;0;
Bor-Ammonsalpeter 26 % + S;dt;303;;0.26;;0;;0;
BOR-Ammonsalpeter 26 % + S;dt;18;;0.26;;0;;0;
Bor-Ammonsalpeter 26%+ B+S;dt;92;;0.26;;0;;0;
Bor-Ammonsalpeter 27.5%;dt;341;;0.275;;0;;0;
Borax - Fertibor;dt;4;nur Bor;;;0;;0;
Borostar B15;l;2;nur Bor;;;0;;0;
Bortrac;l;156;nur Bor;;;0;;0;
Bovins;t;1;keine Infos;1.7;;0;;0;kg/t
Brinamon flüssig;kg;27;;0.1;;0;;0;
Briner Presssaft 15.4 2010;m³;6;;1.6;;0;;0;kg/m3
Briner Presssaft 15.7.2012;m³;5;;1.6;;0;;0;in %
Briner Presssaft 18 mai 2009;m³;6;;1.6;;0;;0;kg/m3
Briner Presssaft 18.8.2011;m³;6;;1.6;;0;;0;kg/m3
Bucke Schwanden;m³;24;keine Infos;2.6;;0;;0;kg/m3
Calcifert 13.8.25;dt;1;;0.13;0.08;0.0352;0.25;0.2075;
Calciphos;dt;10;;;0.06;0.0264;;0;
Calcium plus, Flüssigdünger;l;1;;;;0;;0;
Calciumchlorid;l;1;;;;0;;0;
Calciumchlorid 384;l;8;;;;0;;0;
Calcophos 9% P;dt;4;;;0.09;0.0396;;0;
Carodor;dt;31;;0.06;0.08;0.0352;0.28;0.2324;
Carodor (Rüben);dt;52;;0.06;0.08;0.0352;0.28;0.2324;
Ceral;dt;84;;;0.16;0.0704;0.32;0.2656;
Colzador;dt;22;;0.06;0.13;0.0572;0.25;0.2075;
Colzador (Raps);dt;21;;0.06;0.13;0.0572;0.25;0.2075;
Colzador PK;dt;6;;;0.13;0.0572;0.25;0.2075;
Colzador PK (Raps);dt;9;;;0.13;0.0572;0.25;0.2075;
Compost;t;6;keine Infos;1.7;;0;;0;kg/t
Compost Germanier;t;5;keine Infos;1.7;;0;;0;kg/t
Concentro;dt;1;;0.13;0.13;0.0572;0.26;0.2158;
Condit;dt;25;;0.05;0.01;0.0044;0.02;0.0166;
Condit A;dt;29;unsichere Info;0.05;0.01;0.0044;0.02;0.0166;
Condit B;dt;36;unsichere Info;0.05;0.01;0.0044;0.02;0.0166;
Cresentis seedpotato;dt;6;;0.08;0.08;0.0352;0.3;0.249;
creux à purin;m³;55;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Crop-Set;l;9;Pflanzenstimulator;;;0;;0;
Cyanamide;dt;7;Pflanzenstimulator;;;0;;0;
DAP - Fosam;dt;12;;0.18;0.46;0.2024;;0;
DAP 18 % N + 46 % P;dt;181;;0.18;0.46;0.2024;;0;
Diammonphosphat;dt;73;;0.18;0.46;0.2024;;0;
Dünger NP 28.28;dt;2;;0.28;0.28;0.1232;;0;
Eigene Gülle;m³;547;Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
eigene Gülle;m³;135;Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
eigener Mist;t;9;Annahme Kuh;1.9;2.7;1.188;8.7;7.221;kg/t
Eigener Mist;t;3;;1.9;2.7;1.188;8.7;7.221;kg/t
Engrais  betterave 2011;dt;1;Dünger, Rübe;0.06;0.08;0.0352;0.28;0.2324;Annahmen
Engrais azoté blé vrac;dt;8;Stickstoffdünger;0.27;;0;;0;Annahmen
Engrais azoté colza vrac;dt;6;Stickstoffdünger;0.27;;0;;0;Annahmen
Engrais betteraves;dt;4;Dünger, Rübe;0.06;0.08;0.0352;0.28;0.2324;Annahmen
Engrais colza 2011;dt;1;keine Infos;0.27;;0;;0;Annahmen
Engrais complet;dt;4;keine Infos;0.27;;0;;0;Annahmen
Engrais Fritz;dt;22;Stickstoffdünger;0.27;;0;;0;
Engrais PK base;dt;3;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK Blé Vrac 1;dt;4;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK Blé Vrac 2;dt;2;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK colza Vrac 1;dt;6;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK Pois Vrac 1;dt;2;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK Prés Vrac 1;dt;4;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais PK Triticale 1;dt;1;PK Dünger;;0.15;0.066;0.3;0.249;Annahmen
Engrais pour betterave;dt;1;;0.06;0.08;0.0352;0.28;0.2324;
Engrais pour colza;dt;1;keine Infos;0.27;;0;;0;Annahmen
Engrais pour tabac;dt;7;;0.27;;0;;0;Annahmen
Engrais prairies;dt;16;Wiesendünger;0.27;;0;;0;Annahmen
Engrais vrac blé 2011;dt;5;;0.27;;0;;0;Annahmen
Engrais vrac orge 2011;dt;3;;0.27;;0;;0;Annahmen
Engrais vrac pât et prairies 2011;dt;6;;0.27;;0;;0;Annahmen
Engrais vrac prairies 2011;dt;5;;0.27;;0;;0;Annahmen
Entec;dt;25;;0.26;;0;;0;
En-Tec;dt;10;;0.26;;0;;0;
Entec 26;dt;84;;0.26;;0;;0;
Entec Perfeckt;dt;9;;0.14;0.07;0.0308;0.17;0.1411;
Entec perfekt;dt;106;;0.14;0.07;0.0308;0.17;0.1411;
Entec perfekt Dünger;dt;3;;0.14;0.07;0.0308;0.17;0.1411;
Etable à bovins, litière profonde (système à 1 ou ;t;3;Stallmist, Rind;1.7;2.7;1.188;8.7;7.221;kg/t
Exact 20-8-8;dt;24;;0.2;0.08;0.0352;0.08;0.0664;
Exakt;dt;9;;0.2;0.08;0.0352;0.08;0.0664;
Exakt 20.8.8;dt;6;;0.2;0.08;0.0352;0.08;0.0664;
Exakt Nobilis.. 4.10.30 .3.5. 0.2. 4S;dt;1;;0.04;0.1;0.044;0.3;0.249;
Fertical 0.10.15;dt;9;;;0.1;0.044;0.15;0.1245;
Fertical NP;dt;40;;0.15;0.05;0.022;;0;
Fertical PK;dt;20;;;0.1;0.044;0.15;0.1245;
Fertimix 0.9.22.5;dt;42;;;0.09;0.0396;0.22;0.1826;
Fertimix 5.10.28 . 3 mg;dt;17;;0.05;0.1;0.044;0.28;0.2324;
Fertimix landor 5.10.28 ;dt;2;;0.05;0.1;0.044;0.28;0.2324;
Fertimix landor 5.10.28+2 Mg;dt;2;;0.05;0.1;0.044;0.28;0.2324;
Fertimix landor 5.10.30;dt;5;;0.05;0.1;0.044;0.3;0.249;
Fertiplus;l;11;;130;90;39.6;70;58.1;g/l
Flüssigdünger S (Stähler);l;10;;100;100;44;75;62.25;g/l
Flüssigdünger XL;l;6;;0.1;0.1;0;0.075;0;kg/l
Folifert Super;kg;11;;0.16;0.05;0.022;0.05;0.0415;
Foskal;dt;13;;;0.11;0.0484;0.33;0.2739;
Foskal calcique;dt;79;;;0.13;0.0572;0.26;0.2158;
Foskal mit Kalk;dt;36;;;0.13;0.0572;0.26;0.2158;
fosse;m³;30;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse 1;m³;109;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse 1 à purin, en béton, fermée;m³;13;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse 2000;m³;184;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse 3 à lisier, en béton, fermée;m³;3;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à lisier;m³;93;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/t
Fosse à lisier de porc, en béton, fermée;m³;14;Gülle, Schwein;3.6;3.8;1.672;4.4;3.652;kg/m3
Fosse à lisier fermée;m³;15;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à lisier pour Génisses;m³;14;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à lisier pour vaches;m³;16;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à lisier, en béton, fermée;m³;955;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à purin de bovin, en béton, fermée;m³;2;Gülle, Rind;2.6;1.7;0.748;5.2;4.316;kg/m3
Fosse à purin fermée;m³;1100;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fosse à purin ouverte;m³;45;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
fosse couverte winkler;m³;32;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
fosse génisses;m³;13;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
fosse ouverte reymond;m³;106;Gülle, Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/m3
Fumier;t;14;Mist, Annahme Kuh;1.7;2.7;1.188;8.7;7.221;kg/t
Fumier au tas bovin;t;76;Kuhmist;1.7;2.7;1.188;8.7;7.221;kg/t
Fumier composté;t;14;keine Infos;1.7;;0;;0;kg/t
Fumier de bovin;t;6;Rindermist;1.7;2.7;1.188;8.7;7.221;kg/t
Fumier de cheval frais;t;27;Pferdemist;1.7;2.7;1.188;8.7;7.221;kg/t
Fumier de cheval mûr;t;2;Pferdemist;1.7;2.7;1.188;8.7;7.221;kg/t
Fumier de l'exploitation;t;8;Annahme Kuh;2.6;1.8;0.792;8;6.64;kg/t
Fumier de poules (caisse à crottes, él. au sol);t;26;Geflügelmist;10.5;30;13.2;20;16.6;kg/t
Fumier de poulets;t;65;Geflügelmist;10.5;30;13.2;20;16.6;kg/t
Fumier de poulets ROUX;t;3;;10.5;30;13.2;20;16.6;kg/t
Fumier exploitation;t;12;;2.6;1.8;0.792;8.7;7.221;kg/t
Fumier poulets;t;5;;10.5;30;13.2;20;16.6;kg/t
Fumier stabulation libre bovins à l'engrais;t;31;Rindermist;1.7;2.7;1.188;5.2;4.316;kg/t
Fumier Vesin;t;29;keine Infos;1.7;;0;;0;kg/t
Fumier volaille;t;25;Geflügelmist;10.5;30;13.2;20;16.6;kg/t
Fumière;t;20;Annahme Kuhmist;1.7;2.7;1.188;8.7;7.221;kg/t
fumière;t;15;Annahme Kuhmist;1.7;2.7;1.188;8.7;7.221;kg/t
Gabi plus Flüssigdünger: Gabi 5;l;10;;0.13;0.03;0.0132;0.07;0.0581;in %
Gabi plus Flüssigdünger: Gabi P;l;8;Posphorsäurelösung;;0.2;0.088;;0;in %
Gärgülle;m³;2;keine Infos;2.6;;0;;0;kg/m3
Gärgülle fillgas;m³;1;keine Infos;2.6;;0;;0;kg/m3
Geldor;dt;41;;0.08;0.12;0.0528;0.2;0.166;
Getrel;l;44;;100;;0;;0;g/l
Granor 0.15.30;dt;199;;;0.15;0.066;0.3;0.249;
Granuphos;dt;139;;;0.18;0.0792;;0;
Granuphos 18;dt;18;;;0.18;0.0792;;0;
Grube 1;m³;35;;2.6;1.8;0.792;8;6.64;kg/m3
Grube alt;m³;42;;2.6;1.8;0.792;8;6.64;kg/m3
Grube Milchvieh;m³;131;;2.6;1.8;0.792;8;6.64;kg/m3
Grube neu;m³;302;;2.6;1.8;0.792;8;6.64;kg/m3
Grube Rindviehstall;m³;93;;2.6;1.7;0.748;5.2;4.316;kg/m3
Gülle;m³;104;;2.6;1.8;0.792;8;6.64;kg/t
Gülle Meier;m³;305;;2.6;1.8;0.792;8;6.64;kg/m3
Gülle R +S 1/2 verd.;m³;11;Rind + Schwein;1.05;1;0.44;2.1;1.743;kg/m3
Gülle Rind  1/1 verd.;m³;18;;1.3;0.9;0.396;2.6;2.158;kg/m3
Gülle Rinder 1:1 verdünnt;m³;1658;;1.3;0.9;0.396;2.6;2.158;kg/m3
Gülle Rinder 1:2 verdünnt;m³;604;;0.85;0.6;0.264;1.7;1.411;kg/m3
Gülle Rinder kotarm 1:3 verdünnt;m³;89;Annahme 1:2,5;0.6;0.5;0.22;1.5;1.245;kg/m3
Gülle Rinder kotarm 1:3 verdünnt (Schleppschlaucheinsatz);m³;21;Annahme 1:2,6;0.6;0.5;0.22;1.5;1.245;kg/m3
Gülle Rinder unverdünnt;m³;35;;2.6;1.7;0.748;5.2;4.316;kg/m3
Gülle Rindviehmast;m³;16;;2.6;1.7;0.748;6.2;5.146;kg/m3
Gülle Rohner;m³;116;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
Gülle Schweine;m³;3;;3.6;3.8;1.672;4.4;3.652;kg/m3
Gülle zufuhr Schwein;m³;5;;3.6;3.8;1.672;5.4;4.482;kg/m3
Güllebehälter;m³;104;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/t
Güllebehälter alt mit Laufhof;m³;89;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
Güllebehälter neu;m³;62;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
Güllebehälter Unter Mistplatz;m³;4;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
Güllegrube;m³;85;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
Güllegrube Kühe;m³;14;Annahme Milchvieh;2.6;1.8;0.792;8;6.64;kg/m3
